,Var1,Freq
1,Patrick W Serruys,433
2,Robert M Califf,365
3,Eric J Topol,358
4,David R Holmes,345
5,Thomas F Luscher,307
6,Eric D Peterson,247
7,Martin B Leon,235
8,Bernard J Gersh,223
9,Gregg W Stone,222
10,Barry J Maron,206
11,Jeroen J Bax,202
12,Christopher B Granger,200
13,Robert O Bonow,194
14,Maarten L Simoons,190
15,Harvey D White,184
16,Harlan M Krumholz,183
17,Paul W Armstrong,179
18,Christopher P Cannon,176
19,Elliott M Antman,175
20,Frans J Van de Werf,175
21,Lars C Wallentin,173
22,Sidney C Smith,167
23,Eugene Braunwald,164
24,Gary S Mintz,162
25,Deepak L Bhatt,161
26,Stephen G Ellis,161
27,James D Thomas,159
28,Valentin Fuster,157
29,Abdul Jamil Tajik,156
30,Gregg C Fonarow,151
31,Paul M Ridker,150
32,Raimund A Erbel,150
33,Salim Yusuf,150
34,Marc A Pfeffer,142
35,James B Seward,140
36,Pim J de Feyter,140
37,Eric M Ohman,136
38,Daniel E Levy,135
39,Alan John Camm,134
40,Daniel S Berman,134
41,Douglas P Zipes,134
42,Spencer B King,134
43,Jeffrey J Popma,133
44,Jeffrey L Anderson,133
45,Keith A A Fox,133
46,William J McKenna,133
47,Peter J Schwartz,132
48,Robert A Harrington,131
49,Pamela S Douglas,130
50,Raymond J Gibbons,130
51,Hartzell V Schaff,129
52,Magdi H Yacoub,129
53,Emelia J Benjamin,127
54,Scott D Solomon,127
55,Rick A Nishimura,126
56,Arthur J Moss,125
57,Jos R T C Roelandt,125
58,Karl B Swedberg,125
59,Hein J Wellens,124
60,James T Willerson,124
61,Roxana Mehran,124
62,John E Deanfield,123
63,Kent R Bailey,123
64,William W O'Neill,120
65,John A Spertus,119
66,Ramachandran S Vasan,119
67,Carl J Pepine,117
68,David J Cohen,117
69,Sabina A Murphy,117
70,Bernard R Chaitman,116
71,Dean J Kereiakes,116
72,Antonio Colombo,115
73,Mark E Josephson,115
74,Melvin M Scheinman,115
75,Anthony N DeMaria,114
76,Mark Nicholls,114
77,Arthur E Weyman,113
78,Andros Tofield,111
79,William S Weintraub,111
80,Eric Boersma,110
81,Gregory Y H Lip,110
82,Martin M Borggrefe,110
83,Otto M Hess,110
84,Philip A Poole-Wilson,110
85,Adnan Kastrati,109
86,Mark A Hlatky,109
87,Alec S Vahanian,108
88,David A Morrow,108
89,Franz-Josef Neumann,108
90,Kim A Eagle,108
91,Mark A Creager,108
92,Richard B Devereux,108
93,Andrew J S Coats,107
94,John J V McMurray,107
95,Kenneth M Kent,107
96,Alexandra J Lansky,106
97,Charles Michael Gibson,106
98,Philippe Gabriel Steg,106
99,Stephan Windecker,105
100,Burton E Sobel,104
