"","X","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"53645",182465,"Pamela S Douglas","female",26,32,72,130,5,14,27,46
"18321",60955,"Emelia J Benjamin","female",6,26,95,127,1,9,32,42
"60858",213422,"Roxana Mehran","female",6,12,106,124,0,4,51,55
"61335",214917,"Sabina A Murphy","female",5,1,111,117,1,0,27,28
"1989",6551,"Alexandra J Lansky","female",10,2,94,106,3,0,14,17
"12347",39312,"Cindy L Grines","female",17,20,60,97,0,0,4,4
"40600",141898,"Leslee J Shaw","female",18,10,68,96,3,5,23,31
"58501",201627,"Renu Virmani","female",3,44,43,90,0,9,16,25
"35051",125377,"Judith S Hochman","female",7,25,56,88,1,2,12,15
"2287",7505,"Alice K Jacobs","female",11,11,57,79,3,2,15,20
"9784",30987,"Carolyn H McCabe","female",0,1,78,79,0,0,0,0
"39841",139599,"Laura Kristin Newby","female",10,9,55,74,0,6,18,24
"54110",183981,"Patricia A Pellikka","female",4,26,44,74,0,7,10,17
"42357",146963,"Lynne Warner Stevenson","female",16,19,38,73,1,4,4,9
"43746",151575,"Margaret M Redfield","female",6,26,35,67,0,8,15,23
"16684",55473,"Donna M Mancini","female",21,11,33,65,1,0,4,5
"11461",36201,"Christie M Ballantyne","female",10,14,39,63,0,5,25,30
"3273",10314,"Andrea Natale","female",1,42,17,60,1,14,6,21
"38372",135382,"Kim M Fox","female",12,25,20,57,2,2,6,10
"44373",152986,"Marie-Claude Morice","female",3,8,46,57,1,2,17,20
"19581",66258,"Evelyn S Regar","female",3,9,44,56,0,5,12,17
"65681",227553,"Stefanie Dimmeler","female",1,27,27,55,0,5,8,13
"44537",153392,"Mariell L Jessup","female",6,7,40,53,4,4,21,29
"36248",128638,"Karen P Alexander","female",12,6,34,52,2,3,19,24
"71679",246694,"Vera A Bittner","female",5,6,41,52,3,5,16,24
