"","X","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"54223",184295,"Patrick W Serruys","male",43,195,195,433,4,28,48,80
"59239",205177,"Robert M Califf","male",31,75,259,365,2,10,26,38
"18712",62072,"Eric J Topol","male",32,177,149,358,0,4,2,6
"14376",45488,"David R Holmes","male",49,94,202,345,14,20,38,72
"68967",238002,"Thomas F L??scher","male",68,118,121,307,59,73,67,199
"18708",62068,"Eric D Peterson","male",13,69,164,246,2,26,77,105
"45531",157212,"Martin B Leon","male",5,120,110,235,0,30,31,61
"7582",23547,"Bernard J Gersh","male",15,59,149,223,5,12,34,51
"23971",82697,"Gregg W Stone","male",40,90,92,222,13,47,29,89
"7092",21618,"Barry J Maron","male",66,68,72,206,21,13,14,48
"31663",110652,"Jeroen J Bax","male",24,69,109,202,5,17,36,58
"11894",37464,"Christopher B Granger","male",9,30,160,199,1,13,45,59
"59269",205219,"Robert O Bonow","male",40,46,108,194,7,5,33,45
"42390",147271,"Maarten L Simoons","male",25,68,97,190,5,3,3,11
"25409",87909,"Harvey D White","male",18,37,129,184,2,6,26,34
"25247",87005,"Harlan M Krumholz","male",32,80,71,183,2,26,24,52
"54476",185630,"Paul W Armstrong","male",19,60,99,178,2,7,19,28
"11901",37473,"Christopher P Cannon","male",18,18,139,175,3,4,36,43
"18194",60368,"Elliott M Antman","male",31,30,114,175,4,7,19,30
"21336",72035,"Frans J Van de Werf","male",18,42,115,175,4,9,15,28
"39718",138849,"Lars C Wallentin","male",9,78,85,172,3,30,38,71
"64444",223449,"Sidney C Smith","male",29,41,97,167,10,3,21,34
"19321",65289,"Eugene Braunwald","male",9,100,55,164,4,19,30,53
"22012",75123,"Gary S Mintz","male",17,12,133,162,1,2,13,16
"66034",228788,"Stephen G Ellis","male",37,15,109,161,0,0,12,12
