names,gender,probability,count
Aad,male,1,2
Aadil,male,1,4
Aaf,male,1,1
Aage,male,1,
Aagje,female,1,2
Aaisha,female,1,3
Aakash,male,1,
Aakriti,female,1,4
Aalap,unknown,unknown,unknown
Aamer,male,1,7
Aamir,male,1,
Aanand,male,1,2
Aanchal,female,1,18
Aapo,male,1,3
Aarif,male,1,3
Aarno,unknown,unknown,unknown
Aaron,male,1,
Aart,male,1,
Aarti,female,1,51
Aarush,male,1,1
Aase,female,1,
Aashish,male,1,
Aashrayata,unknown,unknown,unknown
Aatif,male,1,
Aatit,unknown,unknown,
Ab,male,0.87,
Abad,male,1,
Abas,male,1,2
Abass,male,1,7
Abba,male,0.77,
Abbas,male,1,
Abbasin,unknown,unknown,unknown
Abbey,female,0.97,
Abby,female,0.98,556
Abdalla,male,1,36
AbdAllah,male,1,
Abdeddahir,unknown,unknown,unknown
Abdeddayem,male,1,1
Abdel,male,1,84
Abdelazeem,unknown,unknown,
Abdelaziz,male,1,13
Abdelghani,male,1,
Abdelhamed,male,1,1
Abdelilah,male,1,
Abdelkarim,male,1,6
Abdelkrim,male,1,
Abdellaziz,unknown,unknown,unknown
Abdelmohsen,unknown,unknown,unknown
Abdelmonem,male,1,
Abdelnaby,unknown,unknown,unknown
Abdelouahid,unknown,unknown,unknown
Abdelrahim,male,1,1
Abdel-Rahman,male,1,
Abdenasser,unknown,unknown,unknown
Abdennasser,unknown,unknown,unknown
Abderrahim,male,1,14
Abderrahmane,male,1,
Abderrezak,male,1,
Abdeslam,male,1,8
Abdhul,male,1,1
Abdi,male,1,39
Abdissa,unknown,unknown,unknown
Abdolhadi,unknown,unknown,
Abdolkarim,unknown,unknown,
Abdollah,unknown,unknown,
Abdolrahim,unknown,unknown,unknown
Abdolreza,unknown,unknown,
Abdonas,unknown,unknown,unknown
Abdou,male,0.98,59
Abdoulaye,male,1,
Abdualla,unknown,unknown,unknown
Abdul,male,1,
Abdulaziz,male,1,
Abdulfatah,unknown,unknown,unknown
Abdulfattah,male,1,3
Abdulhafez,unknown,unknown,
Abdulhakim,male,1,
Abdulhameed,unknown,unknown,unknown
Abdulhamit,male,1,
Abdulkader,male,1,
Abdulkareem,female,0.5,2
Abdul-Kareem,unknown,unknown,
Abdulla,male,1,
Abdullah,male,0.99,
Abdulmajeed,male,1,6
Abdulmoneam,unknown,unknown,
Abdulmoneim,unknown,unknown,unknown
Abdulrahman,male,0.99,
Abdulrazzaq,unknown,unknown,
Abdul-Wahab,unknown,unknown,
Abdur,male,1,26
Abdurrahim,male,1,
Abdurrahman,male,1,
Abdus,male,1,6
Abdusselam,male,1,
Abe,male,0.96,
Abed,male,0.98,
Abeel,male,1,2
Abeer,female,0.98,86
Abel,male,0.99,
Abelardo,male,1,20
Abenezer,male,1,
Abhay,male,1,
Abhaya,unknown,unknown,
Abhidha,unknown,unknown,
Abhijeet,male,1,
Abhijit,male,1,
Abhilash,male,1,
Abhimanyu,male,1,
Abhinav,male,1,
Abhiram,male,1,1
Abhishek,male,1,
Abhvinav,unknown,unknown,unknown
Abid,male,1,
Abida,female,0.67,
Abigail,female,1,
Abiola,female,0.84,19
Abir,female,0.85,65
Abirami,female,0.75,4
Ablaa,unknown,unknown,
Ablajan,unknown,unknown,unknown
Abner,male,0.95,21
Abolfazl,male,1,
Aboli,unknown,unknown,unknown
Abou,male,0.97,
Aboulfazl,unknown,unknown,
Abraham,male,1,
Abram,male,0.97,
Abrar,female,0.5,
