"","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"7","Aad van der Lugt","male",0,0,5,5,0,0,5,5
"12","Aadil Shaukat","male",0,0,1,1,0,0,1,1
"13","Aaf F M Kuijper","male",0,0,1,1,0,0,0,0
"14","Aage Tverdal","male",1,0,1,2,0,0,1,1
"16","Aagje Nijveld","female",0,0,1,1,0,0,0,0
"17","Aaisha Opel","female",0,0,1,1,0,0,0,0
"18","Aakriti Gupta","female",1,0,1,2,1,0,1,2
"20","Aalap Chokshi","unknown",1,0,0,1,1,0,0,1
"21","Aamer H Jamali","male",0,0,1,1,0,0,0,0
"22","Aamir Ali","male",0,0,2,2,0,0,2,2
"23","Aamir S Shah","male",0,1,2,3,0,0,0,0
"24","Aamir Javaid","male",1,0,0,1,0,0,0,0
"28","Aanand D Naik","male",1,2,0,3,0,2,0,2
"31","Aanchal Pahuja","female",0,0,1,1,0,0,1,1
"32","Aapo L Aro","male",4,1,2,7,3,0,1,4
"36","Aapo Lehtonen","male",0,0,2,2,0,0,0,0
"41","Aarif Khakoo","male",0,0,1,1,0,0,1,1
"42","Aarno Palotie","unknown",0,0,1,1,0,0,1,1
"43","Aaron R Folsom","male",7,10,38,55,2,2,14,18
"44","Aaron K Blumkin","male",0,0,1,1,0,0,0,0
"45","Aaron K Wong","male",1,0,2,3,0,0,0,0
"46","Aaron D Goldberg","male",2,0,13,15,1,0,0,1
"47","Aaron S Kelly","male",1,0,3,4,1,0,2,3
"48","Aaron L Hendler","male",0,0,2,2,0,0,0,0
"51","Aaron D Kugelmass","male",2,0,7,9,0,0,2,2
"52","Aaron Burg","male",0,0,2,2,0,0,0,0
"53","Aaron L Baggish","male",5,2,17,24,4,2,11,17
"54","Aaron B Baker","male",1,0,2,3,1,0,1,2
"55","Aaron S Blom","male",1,0,1,2,0,0,0,0
"58","Aaron J Peace","male",0,0,1,1,0,0,1,1
"59","Aaron B Waxman","male",1,0,4,5,1,0,2,3
"63","Aaron Doverspike","male",0,0,2,2,0,0,0,0
"65","Aaron Held","male",0,0,1,1,0,0,1,1
"67","Aaron T Lada","male",0,0,1,1,0,0,0,0
"70","Aaron W Aday","male",2,0,0,2,2,0,0,2
"72","Aaron J Bell","male",0,2,5,7,0,1,1,2
"75","Aaron Kupin","male",0,0,1,1,0,0,1,1
"77","Aaron Fenster","male",0,0,1,1,0,0,0,0
"78","Aaron D Berman","male",2,0,7,9,0,0,0,0
"85","Aaron Donoghue","male",0,0,1,1,0,0,0,0
"87","Aaron Grantham","male",0,0,1,1,0,0,0,0
"93","Aaron K Olson","male",0,0,1,1,0,0,0,0
"96","Aaron K Aragaki","male",0,0,2,2,0,0,1,1
"98","Aaron M Ranasinghe","male",3,1,2,6,0,1,2,3
"105","Aaron T Place","male",0,0,1,1,0,0,1,1
"111","Aaron M Patton","male",0,0,1,1,0,0,0,0
"112","Aaron Rosenfeld","male",0,0,1,1,0,0,1,1
"115","Aaron W Trammell","male",0,0,2,2,0,0,2,2
"117","Aaron Ciechanover","male",0,0,1,1,0,0,0,0
"119","Aaron D Aguirre","male",0,0,2,2,0,0,2,2
"121","Aaron M Anderson","male",0,0,1,1,0,0,1,1
"124","Aaron L Sverdlov","male",2,0,0,2,1,0,0,1
"125","Aaron Levit","male",0,0,1,1,0,0,1,1
"131","Aaron Winterstern","male",0,0,2,2,0,0,1,1
"132","Aaron DeWitt","male",0,0,1,1,0,0,1,1
"146","Aaron G Sheldon","male",0,0,1,1,0,0,0,0
"153","Aaron Satran","male",1,0,1,2,0,0,0,0
"154","Aaron V Kaplan","male",2,5,0,7,0,0,0,0
"157","Aaron P Kithcart","male",1,0,3,4,1,0,3,4
"158","Aaron M From","male",2,0,1,3,1,0,1,2
"160","Aaron Loyd","male",0,0,1,1,0,0,0,0
"173","Aaron Weaver","male",0,0,1,1,0,0,0,0
"176","Aaron Teitelbaum","male",0,0,1,1,0,0,0,0
"178","Aaron S Dumont","male",0,0,2,2,0,0,0,0
"182","Aaron van Donkelaar","male",0,0,1,1,0,0,1,1
"189","Aaron E Cozen","male",1,0,0,1,0,0,0,0
"190","Aaron Lubetsky","male",0,0,1,1,0,0,0,0
"194","Aaron I Vinik","male",1,1,0,2,0,0,0,0
"198","Aaron Isaacs","male",0,0,3,3,0,0,1,1
"214","Aaron Tward","male",1,0,0,1,0,0,0,0
"217","Aaron S Kesselheim","male",0,1,0,1,0,1,0,1
"218","Aaron S Eisman","male",0,0,1,1,0,0,1,1
"227","Aaron Schneeberger","male",0,0,1,1,0,0,0,0
"242","Aaron Kelkhoff","male",0,0,1,1,0,0,1,1
"254","Aart Brutel de la Rivi??re","male",0,0,4,4,0,0,0,0
"257","Aart J Nederveen","male",0,0,5,5,0,0,5,5
"262","Aart Osinski","male",0,0,1,1,0,0,1,1
"263","Aart H Schene","male",0,0,1,1,0,0,0,0
"264","Aart Brutel de la Riviere","male",0,0,1,1,0,0,0,0
"266","Aarti Asnani","female",0,0,1,1,0,0,0,0
"267","Aarti Hejmadi Bhat","female",1,0,2,3,0,0,0,0
"268","Aarti Surti","female",0,0,2,2,0,0,1,1
"269","Aarti V Shah","female",0,0,1,1,0,0,1,1
"270","Aarti Hejmadi","female",0,0,1,1,0,0,0,0
"274","Aarush Manchanda","male",2,0,0,2,0,0,0,0
"276","Aase Wisten","female",0,0,1,1,0,0,0,0
"277","Aase Handberg","female",1,0,0,1,0,0,0,0
"278","Aashrayata Aryal Pandit","unknown",0,0,1,1,0,0,1,1
"279","Abas Randjgari","male",0,0,1,1,0,0,1,1
"280","Abass Alavi","male",0,0,1,1,0,0,1,1
"281","Abba Malina","male",0,0,1,1,0,0,1,1
"282","Abbas Dehghan","male",1,0,8,9,1,0,6,7
"284","Abbas Zaidi","male",3,0,5,8,3,0,5,8
