"","X","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"60858",213422,"Roxana Mehran","female",6,12,106,124,0,4,51,55
"53645",182465,"Pamela S Douglas","female",26,32,72,130,5,14,27,46
"18321",60955,"Emelia J Benjamin","female",6,26,95,127,1,9,32,42
"61885",216652,"Sana M Al-Khatib","female",13,8,26,47,11,8,20,39
"8673",27407,"Bridget M Kuehn","female",18,18,0,36,18,18,0,36
"71904",247435,"Victoria Delgado","female",6,4,36,46,2,4,27,33
"39842",139600,"Laura Mauri","female",8,14,26,48,2,9,21,32
"40600",141898,"Leslee J Shaw","female",18,10,68,96,3,5,23,31
"70741",243905,"Tracy Y Wang","female",7,9,22,38,4,9,18,31
"11461",36201,"Christie M Ballantyne","female",10,14,39,63,0,5,25,30
"44537",153392,"Mariell L Jessup","female",6,7,40,53,4,4,21,29
"61335",214917,"Sabina A Murphy","female",5,1,111,117,1,0,27,28
"33748",119809,"Jolien W Roos-Hesselink","female",7,12,24,43,2,12,13,27
"35126",125705,"Judy Ozkan","female",22,22,0,44,13,13,0,26
"39595",138478,"Laine E Thomas","female",2,0,28,30,0,0,26,26
"58501",201627,"Renu Virmani","female",3,44,43,90,0,9,16,25
"36248",128638,"Karen P Alexander","female",12,6,34,52,2,3,19,24
"39841",139599,"Laura Kristin Newby","female",10,9,55,74,0,6,18,24
"71679",246694,"Vera A Bittner","female",5,6,41,52,3,5,16,24
"17569",58822,"Elaine M Hylek","female",2,2,23,27,1,1,21,23
"43746",151575,"Margaret M Redfield","female",6,26,35,67,0,8,15,23
"25757",89379,"Helen Jaques","female",11,11,0,22,11,11,0,22
"58155",200707,"Rebecca T Hahn","female",3,3,21,27,2,3,17,22
"2764",9013,"Amil M Shah","female",14,9,20,43,7,1,13,21
"3273",10314,"Andrea Natale","female",1,42,17,60,1,14,6,21
