"","X","uniqueID","gender","firstCount","lastCount","midCount","allCount","firstCount15","lastCount15","midCount15","allCount15"
"68967",238002,"Thomas F L??scher","male",68,118,121,307,59,73,67,199
"4049",12997,"Andros Tofield","male",56,55,0,111,54,53,0,107
"18708",62068,"Eric D Peterson","male",13,69,164,246,2,26,77,105
"15443",51089,"Deepak L Bhatt","male",15,39,105,159,6,32,66,104
"23971",82697,"Gregg W Stone","male",40,90,92,222,13,47,29,89
"44915",154373,"Mark Nicholls","male",56,58,0,114,42,44,0,86
"71400",245834,"Valentin Fuster","male",25,52,80,157,13,36,35,84
"23970",82696,"Gregg C Fonarow","male",13,28,110,151,3,11,69,83
"54223",184295,"Patrick W Serruys","male",43,195,195,433,4,28,48,80
"14376",45488,"David R Holmes","male",49,94,202,345,14,20,38,72
"39718",138849,"Lars C Wallentin","male",9,78,85,172,3,30,38,71
"48041",165203,"Michael J Mack","male",2,13,65,80,1,10,60,71
"24015",83155,"Gregory Y H Lip","male",15,48,47,110,12,23,35,70
"62715",218682,"Scott D Solomon","male",19,47,61,127,4,30,34,68
"65843",228084,"Stephan Windecker","male",8,38,59,105,4,29,35,68
"45531",157212,"Martin B Leon","male",5,120,110,235,0,30,31,61
"61596",215587,"Salim Yusuf","male",6,68,75,149,4,21,36,61
"11894",37464,"Christopher B Granger","male",9,30,160,199,1,13,45,59
"31663",110652,"Jeroen J Bax","male",24,69,109,202,5,17,36,58
"33035",114823,"John J V McMurray","male",6,28,73,107,1,16,37,54
"33038",114828,"John A Spertus","male",13,36,70,119,0,13,41,54
"19321",65289,"Eugene Braunwald","male",9,100,55,164,4,19,30,53
"47934",165052,"Michael B?¶hm","male",7,21,74,102,5,10,38,53
"25247",87005,"Harlan M Krumholz","male",32,80,71,183,2,26,24,52
"7582",23547,"Bernard J Gersh","male",15,59,149,223,5,12,34,51
